Subject,Object,DBSCAN_Cluster,Sentence
carbon,capture,0,2707Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 the USA and rest of the world as depicted in Tables 1 and 2.
carbon,storage,0,2707Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 the USA and rest of the world as depicted in Tables 1 and 2.
carbon,utilization,0,2707Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 the USA and rest of the world as depicted in Tables 1 and 2.
capture,storage,0,2707Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 the USA and rest of the world as depicted in Tables 1 and 2.
capture,utilization,0,2707Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 the USA and rest of the world as depicted in Tables 1 and 2.
storage,utilization,0,2707Potential matching of carbon capture storage and utilization (CCSU) as enhanced oil recovery… 1 3 the USA and rest of the world as depicted in Tables 1 and 2.
project,gas,0,"The IEA database reveals that probably the first CCSU project started in the Val Verde area of Texas, in the USA by Terrell Natural Gas Processing Plant (formerly, Val Verde Natural Gas Plant) in 1972 with annual CO2 capture of 1.3 million tonnes as per a"
gas,capture,0,"The IEA database reveals that probably the first CCSU project started in the Val Verde area of Texas, in the USA by Terrell Natural Gas Processing Plant (formerly, Val Verde Natural Gas Plant) in 1972 with annual CO2 capture of 1.3 million tonnes as per a"
gas,capture,0,"The IEA database reveals that probably the first CCSU project started in the Val Verde area of Texas, in the USA by Terrell Natural Gas Processing Plant (formerly, Val Verde Natural Gas Plant) in 1972 with annual CO2 capture of 1.3 million tonnes as per a"
project,chemical,0,"In 1998, Enid Fertilizer started a new project in Oklahoma, the United States, in the chemical industry, capturing CO2 at the rate of 0.7 Mtpa (Million Tonnes per annum)."
project,industry,0,"In 1998, Enid Fertilizer started a new project in Oklahoma, the United States, in the chemical industry, capturing CO2 at the rate of 0.7 Mtpa (Million Tonnes per annum)."
chemical,industry,0,"In 1998, Enid Fertilizer started a new project in Oklahoma, the United States, in the chemical industry, capturing CO2 at the rate of 0.7 Mtpa (Million Tonnes per annum)."
gas,project,0,"The Lost Cabin Gas Plant was retrofitted for a CCSU project in Wyoming, United States, in 2013, and it has been capturing CO2 at a rate of 0.9 Mtpa."
carbon,capture,0,"Recently, Petra Nova Carbon Capture (2017) in Texas, United States, retrofitted a coal-based power generat- ing plant with a CCSU project and started capturing CO2 at 1.4 Mtpa."
gas,capture,0,"While Terrell Natural Gas Processing Plant (1972) has a very low capture rate of 0.45 Mtpa, the Century Plant (2010) has a very high capture rate of 8.4 Mtpa in the Natural gas processing sector."
capture,gas,0,"While Terrell Natural Gas Processing Plant (1972) has a very low capture rate of 0.45 Mtpa, the Century Plant (2010) has a very high capture rate of 8.4 Mtpa in the Natural gas processing sector."
capture,sector,0,"While Terrell Natural Gas Processing Plant (1972) has a very low capture rate of 0.45 Mtpa, the Century Plant (2010) has a very high capture rate of 8.4 Mtpa in the Natural gas processing sector."
