Subject,Object,DBSCAN_Cluster
capture,carbon,0
carbon,storage,0
carbon,utilization,0
capture,storage,0
capture,utilization,0
utilization,storage,0
gas,project,0
capture,gas,0
project,chemical,0
industry,project,0
industry,chemical,0
capture,sector,0
sector,gas,0
injection,gas,0
injection,industry,0
industry,gas,0
capture,industry,0
hydrogen,gas,0
capture,hydrogen,0
industry,utilization,0
capture,technology,0
technology,utilization,0
utilization,status,0
technology,status,0
gas,status,0
gas,utilization,0
technology,gas,0
carbon,gas,0
sector,technology,0
emission,capture,0
emission,industry,0
transport,site,0
site,gas,0
transport,gas,0
capacity,storage,0
source,storage,0
capacity,source,0
carbon,conversion,0
carbon,source,0
conversion,source,0
transport,storage,0
analysis,gas,0
environmental,gas,0
gas,model,0
environmental,model,0
cost,gas,0
emission,gas,0
emission,cost,0
management,fuel,0
management,carbon,0
management,capture,0
model,assessment,0
factor,model,0
capture,cost,0
analysis,cost,0
analysis,capture,0
cost,estimated,0
transport,source,0
phase,storage,0
cost,factor,0
cost,fuel,0
heat,fuel,0
cost,heat,0
capacity,fuel,0
factor,fuel,0
capacity,cost,0
capacity,factor,0
ammonia,conversion,0
ammonia,source,0
transport,model,0
cost,model,0
model,storage,0
cost,chemical,0
cost,project,0
utilization,model,0
carbon,footprint,0
ammonia,capture,0
cost,storage,0
cost,utilization,0
factor,conversion,0
carbon,factor,0
ammonia,carbon,0
carbon,heat,0
footprint,gas,0
heat,factor,0
greenhouse,volcanic ,0
transport,carbon,0
carbon,reservoir,0
carbon,carbonate,0
dissolution,carbonate,0
pressure,dissolution,0
estimated,phase,0
density,carbonate,0
emission,carbon,0
carbon,pressure,0
temperature,carbonate,0
iron,temperature,0
temperature,pressure,0
carbon,dissolution,0
pressure,density,0
carbon,temperature,0
temperature,density,0
carbon,chemical,0
pressure,carbonate,0
thermal,temperature,0
thermal,model,0
carbon,mineral,0
carbonate,phase,0
carbonate,source,0
carbonate,storage,0
site,project,0
depth,carbonate,0
carbon,isotope,0
greenhouse,carbonate,0
carbonate,volcanic ,0
carbon,model,0
isotope,model,0
thermal,depth,0
carbon,dynamics,0
volcanic ,source,0
pressure,phase,0
depth,model,0
carbon,volcanic ,0
thermal,volcanic ,0
temperature,surface,0
thermal,carbon,0
isotope,surface,0
pressure,storage,0
temperature,isotope,0
analysis,carbon,0
carbon,project,0
carbon,site,0
analysis,project,0
carbonate,chemistry,0
carbon,chemistry,0
thermal,surface,0
buffer,chemistry,0
core,assessment,0
